Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms,Vehicle_Mass
900,66.7,479.5,-168,9.999747,0,3,0,0,-0.6,38
1193,62.1,2607.5,-168,9.999747,0,3,0,0,3.1,38
1166.5,72.25,1935.5,-168,9.999747,0,3,0,0,1.3,38
1207,74.54,0,-196,9.999747,0,3,0,0,-1.9,38
1249.5,44.24,2632,-140,9.999747,0,3,0,0,4.8,49
1301,55.15,2632,-140,9.999747,0,3,0,0,2.1,49
1143.5,70.7,2355.5,-168,9.999747,0,3,0,0,2.3,38
1351,56.56,686.2341,-219.014,9.999747,0,3,0,0,2.1,38
1189.5,72.78,2579.5,-168,9.999747,0,3,0,0,0.8,38
932.5,69.4,1571.5,-168,9.999747,0,3,0,0,0.4,38
845,76.23,0,-140,9.999747,0,3,0,0,-0.2,38
1139,70.42,2439.5,-168,9.999747,0,3,0,0,2.3,38
1383,48.76,2663.5,-140,9.999747,0,3,0,0,3.1,49
1038.5,53.3,518.9429,-140,9.999747,0,3,0,0,-2.1,49
1340.5,82.61,0.2898981,-198.3192,9.999747,0,3,0,0,-2.7,38
1150.5,71.21,1798.833,-168,9.999747,0,3,0,0,1.7,38
926,61.74,423.5,-168,9.999747,0,3,0,0,1.5,38
1256.5,77.43,0,-196,9.999747,0,3,0,0,-2.1,38
1093,57.83,2232.813,-140,9.999747,0,3,0,0,2.3,49
1110,48.35,2261.747,-140,9.999747,0,3,0,0,3.1,49
925.5,68.67,1599.5,-140,9.999747,0,3,0,0,0.6,38
919,68.39,1235.5,-140,9.999747,0,3,0,0,-0.4,38
905.5,67.44,1067.5,-168,9.999747,0,3,0,0,-0.2,38
880,65.48,1935.5,-140,9.999747,0,3,0,0,1,38
886.5,65.09,0,-140,9.999747,0,3,0,0,-2.7,49
1244,76.57,0,-196,9.999747,0,3,0,0,-2.7,38
1281.5,45.39,230.2597,-168,9.999747,0,3,0,0,4.8,49
890.5,66.22,2019.5,-140,9.999747,0,3,0,0,0.6,38
917,68.28,2411.5,-140,9.999747,0,3,0,0,1,38
1163.5,41.6,2632,-112,9.999747,0,3,0,0,4.8,49
1158,71.71,1739.5,-168,9.999747,0,3,0,0,1.5,38
876,65.68,1102.037,-140,9.999747,0,3,0,0,0.4,38
1092,47.21,2635.5,-112,9.999747,0,3,0,0,4.2,49
1169.5,72.33,1851.5,-168,9.999747,0,3,0,0,1.5,38
952.5,70.06,0,-140,9.999747,0,3,0,0,-4.6,49
1158,71.71,1373.525,-168,9.999747,0,3,0,0,1.3,38
1154,71.5,1739.5,-168,9.999747,0,3,0,0,1.5,38
1159,71.56,2187.5,-168,9.999747,0,3,0,0,1.7,38
919.5,68.57,1515.5,-140,9.999747,0,3,0,0,0.6,38
1159.5,71.71,1179.5,-168,9.999747,0,3,0,0,0.6,38
1029.5,53.21,1607.601,-140,9.999747,0,3,0,0,1.7,49
875,66.47,115.5,-168,9.999747,0,3,0,0,-1.5,38
1007.5,62.08,2481,-168,9.999747,0,3,0,0,2.7,38
1163,49.52,2632,-112,9.999747,0,3,0,0,3.1,49
937.5,69.73,171.5,-168,9.999747,0,3,0,0,-1,38
1050,54.42,1599.5,-112,9.999747,0,3,0,0,1.9,49
1207.5,62.54,2579.5,-168,9.999747,0,3,0,0,3.4,38
1265,78.18,0,-196,9.999747,0,3,0,0,-3.1,38
1012,74.44,0,-140,9.999747,0,3,0,0,-2.7,49
882.5,66.24,2350.858,-140,9.999747,0,3,0,0,1.5,38
1113,56.67,0,-168,9.999747,0,3,0,0,-2.7,49
1261,77.71,0,-196,9.999747,0,3,0,0,-2.3,38
1024.5,53.18,1588.47,-112,9.999747,0,3,0,0,1.7,49
1149,59.63,1741.263,-168,9.999747,0,3,0,0,1.5,38
916,68.59,1543.5,-140,9.999747,0,3,0,0,0.6,38
1155,71.45,2103.5,-140,9.999747,0,3,0,0,1.9,38
1262,78.51,0,-196,9.999747,0,3,0,0,-3.1,38
1145.5,70.99,2047.5,-168,9.999747,0,3,0,0,2.5,38
1200.5,62.2,2579.5,-168,9.999747,0,3,0,0,3.6,38
1016.5,52.91,1448.92,-140,9.999747,0,3,0,0,1.7,49
1214.5,74.86,1754.148,-196,9.999747,0,3,0,0,0.4,38
948,48.52,1821.225,-168,9.999747,0,3,0,0,1.3,38
1029,53.11,1620.243,-140,9.999747,0,3,0,0,1.7,49
1255.5,77.79,0,-196,9.999747,0,3,0,0,-2.7,38
1153.5,71.42,2215.5,-168,9.999747,0,3,0,0,1.7,38
906,67.67,1263.5,-140,9.999747,0,3,0,0,0.2,38
1180,51.27,2551.5,-140,9.999747,0,3,0,0,4.6,49
1164.5,71.77,2271.5,-168,9.999747,0,3,0,0,1.7,38
1164,72.38,1767.5,-168,9.999747,0,3,0,0,1.5,38
1287,65.68,2607.5,-168,9.999747,0,3,0,0,0.4,38
899,67.51,1067.5,-168,9.999747,0,3,0,0,-0.2,38
1228,75.76,0,-196,9.999747,0,3,0,0,-1.9,38
917,67.66,998.0665,-168,9.999747,0,3,0,0,0.6,38
973,71.41,0,-140,9.999747,0,3,0,0,-2.7,49
1228.5,62.92,2604,-168,9.999747,0,3,0,0,1.3,38
881.5,65.67,2019.5,-140,9.999747,0,3,0,0,1,38
902.5,67.23,2439.5,-140,9.999747,0,3,0,0,1,38
1165.5,71.99,1767.5,-168,9.999747,0,3,0,0,1.7,38
1170.5,41.93,2632,-112,9.999747,0,3,0,0,4.8,49
1148.5,59.29,2604,-168,9.999747,0,3,0,0,2.7,38
1308,80.48,0,-196,9.999747,0,3,0,0,-2.7,38
1164.5,71.97,2076.416,-168,9.999747,0,3,0,0,1.5,38
1173.5,49.24,2632,-112,9.999747,0,3,0,0,1.7,49
1152.5,71.17,1879.5,-168,9.999747,0,3,0,0,1.7,38
1162,41.73,2632,-112,9.999747,0,3,0,0,4.8,49
918,68.59,1491.425,-140,9.999747,0,3,0,0,0.6,38
1339.5,69.92,954.4935,-196,9.999747,0,3,0,0,0.8,38
1196.5,73.22,2579.5,-168,9.999747,0,3,0,0,0.8,38
936.5,69.64,1431.5,-168,9.999747,0,3,0,0,0.4,38
834.5,62.94,550.2454,-145.7712,9.999747,0,3,0,0,2.7,38
1277,45.23,2632,-140,9.999747,0,3,0,0,4.8,49
1158.5,71.63,2215.5,-168,9.999747,0,3,0,0,1.7,38
1178.5,60.53,2579.5,-168,9.999747,0,3,0,0,1.7,38
1487.5,65.42,0,-224,9.999747,0,3,0,0,1.3,38
958,71.87,0,-140,9.999747,0,3,0,0,-0.8,49
1189,60.05,2538.811,-112,9.999747,0,3,0,0,-1.7,49
1155.5,71.54,1739.5,-168,9.999747,0,3,0,0,1.5,38
1159,71.64,1739.5,-168,9.999747,0,3,0,0,1.5,38
1174.5,60.6,2579.5,-168,9.999747,0,3,0,0,2.7,38
1278,65.68,2607.5,-196,9.999747,0,3,0,0,1.7,38
1155.5,71.29,2215.5,-168,9.999747,0,3,0,0,1.9,38
903.5,67.33,1599.5,-168,9.999747,0,3,0,0,0.6,38
1087.5,55.77,2607.5,-168,9.999747,0,3,0,0,1.7,38
1168,59.77,497.646,-140,9.999747,0,3,0,0,-1.5,49
895.5,66.9,423.5,-168,9.999747,0,3,0,0,-0.6,38
1155,71.27,2215.5,-140,9.999747,0,3,0,0,2.1,38
1128.5,49.41,527.5617,-160.0617,9.999747,0,3,0,0,3.1,49
1161,71.02,2297.512,-168,9.999747,0,3,0,0,0.4,38
906.5,67.47,1739.5,-140,9.999747,0,3,0,0,0.6,38
1433.5,70.37,673.3625,-224,9.999747,0,3,0,0,1.3,38
903,67.59,1039.5,-168,9.999747,0,3,0,0,-0.2,38
912.5,68.06,1655.5,-140,9.999747,0,3,0,0,0.6,38
899,67.18,1267.919,-140,9.999747,0,3,0,0,-0.2,38
1166,41.77,2632,-112,9.999747,0,3,0,0,4.8,49
1153,71.4,1851.5,-168,9.999747,0,3,0,0,1.5,38
1262.5,78.35,0,-196,9.999747,0,3,0,0,-3.1,38
1033.5,63.05,2635.5,-140,9.999747,0,3,0,0,2.7,38
1184.5,61.13,2579.5,-168,9.999747,0,3,0,0,0,38
910.5,67.48,774.0531,-168,9.999747,0,3,0,0,-0.2,38
1197.5,62.01,2579.5,-168,9.999747,0,3,0,0,2.9,38
899,66.74,2410.574,-140,9.999747,0,3,0,0,0.6,38
923.5,68.57,1515.5,-140,9.999747,0,3,0,0,0.6,38
933.5,69.89,115.5,-168,9.999747,0,3,0,0,-1,38
984.5,61.55,1771.25,-168,9.999747,0,3,0,0,1.7,38
970,50.86,1823.5,-112,9.999747,0,3,0,0,2.9,49
1008,75.29,0,-168,9.999747,0,3,0,0,-0.8,38
1199.5,62.36,2607.5,-168,9.999747,0,3,0,0,3.1,38
1097.5,56.82,2271.5,-168,9.999747,0,3,0,0,2.3,38
907.5,67.57,1312.813,-168,9.999747,0,3,0,0,0.6,38
1273.5,55.62,736.6137,-224,9.999747,0,3,0,0,2.1,38
939.5,68.89,0,-140,9.999747,0,3,0,0,-4.6,49
1134,48.75,2632,-112,9.999747,0,3,0,0,3.8,49
1130.5,48.68,2632,-112,9.999747,0,3,0,0,2.9,49
917.5,68.31,1543.5,-140,9.999747,0,3,0,0,0.6,38
1305,66.96,0,-196,9.999747,0,3,0,0,-4,49
1158,41.29,2632,-112,9.999747,0,3,0,0,4.2,49
1608,69.56,395.5,-224,9.999747,0,3,0,0,1.3,38
1166,59.3,2599.47,-168,9.999747,0,3,0,0,-0.2,38
1226,62.64,2579.5,-168,9.999747,0,3,0,0,1.3,38
1150,70.97,2464,-140,9.999747,0,3,0,0,2.5,38
1292.5,54.95,2632,-140,9.999747,0,3,0,0,2.1,49
1285,54.48,2632,-140,9.999747,0,3,0,0,2.1,49
595.5,76.06,0,-112,9.999747,0,3,0,0,-0.2,38
974,72.33,0,-140,9.999747,0,3,0,0,-1.9,49
980,73.11,0,-140,9.999747,0,3,0,0,-4.6,49
1076,79.35,0,-140,9.999747,0,3,0,0,-4,49
1168,41.84,2632,-112,9.999747,0,3,0,0,4.8,49
946.5,71.2,0,-140,9.999747,0,3,0,0,-0.8,49
897.5,66.64,507.5,-168,9.999747,0,3,0,0,-0.6,38
1207,62.36,2579.5,-168,9.999747,0,3,0,0,3.6,38
1276,44.79,2632,-140,9.999747,0,3,0,0,4.2,49
1161.5,59.94,2021.268,-168,9.999747,0,3,0,0,1.5,38
906.5,67.38,2450.036,-140,9.999747,0,3,0,0,1,38
940.5,69.94,1339.966,-168,9.999747,0,3,0,0,-0.4,38
1204,74.24,561.5156,-196,9.999747,0,3,0,0,-0.4,38
1017,76.31,0,-168,9.999747,0,3,0,0,-0.2,38
910.5,68.13,1571.5,-140,9.999747,0,3,0,0,0.6,38
1163,41.67,2632,-112,9.999747,0,3,0,0,4.2,49
1151,71.23,2159.5,-168,9.999747,0,3,0,0,1.9,38
920,68.31,1598.653,-140,9.999747,0,3,0,0,0.6,38
933,69.87,1151.5,-168,9.999747,0,3,0,0,0.4,38
1239.5,76.61,0,-196,9.999747,0,3,0,0,-3.1,38
1153,71.2,2383.5,-140,9.999747,0,3,0,0,2.5,38
887,66.22,2024.986,-140,9.999747,0,3,0,0,0.6,38
1151.5,71.13,1963.5,-168,9.999747,0,3,0,0,1.7,38
1144.5,58.46,1289.847,-140,9.999747,0,3,0,0,-1.5,49
1155,71.35,1935.5,-168,9.999747,0,3,0,0,1.5,38
1165.5,41.66,2632,-112,9.999747,0,3,0,0,4.6,49
1160,71.73,1683.5,-168,9.999747,0,3,0,0,1.5,38
1259.5,77.84,0,-196,9.999747,0,3,0,0,-3.1,38
1177.5,72.79,815.5,-168,9.999747,0,3,0,0,-1,38
1157.5,71.63,2075.5,-168,9.999747,0,3,0,0,1.7,38
1163.5,71.86,1824.095,-168,9.999747,0,3,0,0,1.5,38
1139,40.89,2632,-112,9.999747,0,3,0,0,4.2,49
961.5,49.55,1700.47,-140,9.999747,0,3,0,0,0,49
951,70.63,555.8945,-168,9.999747,0,3,0,0,-0.4,38
1194,73.69,0,-196,9.999747,0,3,0,0,-1.7,38
1313,80.81,0,-196,9.999747,0,3,0,0,-2.7,38
1189.5,73.56,0,-196,9.999747,0,3,0,0,-1.9,38
1139,70.41,2439.5,-168,9.999747,0,3,0,0,2.3,38
888,66.13,2016.318,-140,9.999747,0,3,0,0,1,38
883.5,64.8,0,-140,9.999747,0,3,0,0,-2.7,49
1156,71.48,1739.5,-168,9.999747,0,3,0,0,1.5,38
1146.5,71.19,2047.5,-168,9.999747,0,3,0,0,2.5,38
1195.5,73.76,0,-196,9.999747,0,3,0,0,-1.9,38
726,70.67,0,-112,9.999747,0,3,0,0,-0.8,49
1331,82,0,-196,9.999747,0,3,0,0,-2.7,38
1156.5,71.43,2215.5,-168,9.999747,0,3,0,0,1.7,38
1256.5,77.47,0,-196,9.999747,0,3,0,0,-2.1,38
893,60.82,373.4568,-112,9.999747,0,3,0,0,2.3,49
1170,87.99,0,-168,9.999747,0,3,0,0,0.4,49
1368,84.41,0,-224,9.999747,0,3,0,0,-2.7,38
1457,61.48,2607.5,-196,9.999747,0,3,0,0,1.7,38
1147.5,53.03,300.8139,-164.4484,9.999747,0,3,0,0,3.8,49
996,74.57,0,-168,9.999747,0,3,0,0,-0.4,38
1151.5,71.25,1739.5,-168,9.999747,0,3,0,0,1.7,38
898,66.87,2411.5,-140,9.999747,0,3,0,0,0.6,38
900.5,67.17,1067.5,-140,9.999747,0,3,0,0,-0.2,38
1290.5,54.78,2632,-140,9.999747,0,3,0,0,2.1,49
1118,48.44,2633.195,-121.5596,9.999747,0,3,0,0,4,49
1157.5,59.35,2604,-168,9.999747,0,3,0,0,1.7,38
1194.5,61.57,2389.397,-168,9.999747,0,3,0,0,1.7,38
1134,57.43,2604,-168,9.999747,0,3,0,0,0,38
1095,47.52,1873.73,-140,9.999747,0,3,0,0,1.7,49
1086.5,47.06,2635.5,-112,9.999747,0,3,0,0,4,49
902,67.06,1263.5,-140,9.999747,0,3,0,0,-0.2,38
1020.5,52.96,1431.5,-140,9.999747,0,3,0,0,1.7,49
990.5,51.73,1627.5,-112,9.999747,0,3,0,0,1.7,49
1171.5,41.93,2632,-112,9.999747,0,3,0,0,4.8,49
1163,72.38,1740.576,-168,9.999747,0,3,0,0,1.5,38
1197.5,74.26,177.1746,-196,9.999747,0,3,0,0,-0.4,38
1257,78.91,0,-196,9.999747,0,3,0,0,-3.1,38
1160.5,71.85,2159.5,-168,9.999747,0,3,0,0,1.7,38
1290,65.38,2607.5,-168,9.999747,0,3,0,0,0.4,38
1075,55.68,2294.653,-168,9.999747,0,3,0,0,2.3,38
1124.5,58.25,1194.323,-140,9.999747,0,3,0,0,0.6,49
1146,70.93,2467.5,-168,9.999747,0,3,0,0,2.5,38
1162,71.83,1291.5,-168,9.999747,0,3,0,0,1.3,38
1173,41.98,2632,-112,9.999747,0,3,0,0,4.8,49
1275,80.44,0,-196,9.999747,0,3,0,0,-3.1,38
1299.5,80.98,0,-196,9.999747,0,3,0,0,-3.1,38
1250.5,77.14,0,-196,9.999747,0,3,0,0,-2.1,38
1255.5,77.84,0,-196,9.999747,0,3,0,0,-2.7,38
904.5,67.27,1571.5,-140,9.999747,0,3,0,0,0.6,38
1033.5,64.41,1767.5,-140,9.999747,0,3,0,0,2.3,49
1157,41.35,2632,-112,9.999747,0,3,0,0,4.8,49
1212.5,74.31,2417.899,-168,9.999747,0,3,0,0,0.4,38
1184.5,42.59,2611.076,-135.9133,9.999747,0,3,0,0,5,49
1116.5,49.04,2426.277,-140,9.999747,0,3,0,0,4,49
1227.5,75.67,0,-196,9.999747,0,3,0,0,-2.7,38
1062.5,47.33,104.3623,-112,9.999747,0,3,0,0,5,49
1166.5,72.04,2047.5,-168,9.999747,0,3,0,0,1.5,38
1300,79.87,0,-196,9.999747,0,3,0,0,-2.7,38
1180,72.89,1319.5,-168,9.999747,0,3,0,0,0.6,38
1153.5,71.38,1599.5,-168,9.999747,0,3,0,0,1.3,38
897,67.34,2102.482,-140,9.999747,0,3,0,0,1.5,38
1283,65.28,2607.5,-168,9.999747,0,3,0,0,0.960745108,38
882.5,65.57,1207.5,-140,9.999747,0,3,0,0,0.4,38
1259,78.2,0,-196,9.999747,0,3,0,0,-3.1,38
1189.5,73.58,0,-196,9.999747,0,3,0,0,-1,38
909,67.68,1235.5,-140,9.999747,0,3,0,0,0.2,38
1266,78.16,0,-196,9.999747,0,3,0,0,-3.1,38
1177,72.83,1515.25,-168,9.999747,0,3,0,0,0.6,38
1421.5,49.59,2688,-140,9.999747,0,3,0,0,1.7,49
931.5,69.38,1599.5,-168,9.999747,0,3,0,0,0.4,38
1009,75.25,0,-168,9.999747,0,3,0,0,-1.9,38
1172,71.05,2579.5,-168,9.999747,0,3,0,0,-1.7,38
911,68.18,1543.5,-140,9.999747,0,3,0,0,0.6,38
1198.5,53.06,105.0711,-140,9.999747,0,3,0,0,1.7,49
830.5,62.43,2075.5,-140,9.999747,0,3,0,0,2.7,38
1155.5,71.42,2215.5,-168,9.999747,0,3,0,0,1.7,38
888.5,66,507.5,-168,9.999747,0,3,0,0,-0.8,38
1203.5,62.54,2604.445,-168,9.999747,0,3,0,0,3.1,38
1152.5,71.27,2047.5,-168,9.999747,0,3,0,0,2.5,38
973.5,61.36,660.8049,-112,9.999747,0,3,0,0,2.3,49
932,69.65,1431.5,-168,9.999747,0,3,0,0,0.4,38
1123,83.13,0,-168,9.999747,0,3,0,0,-4,49
1188,73.55,0,-196,9.999747,0,3,0,0,-1,38
907.5,67.77,1956.291,-168,9.999747,0,3,0,0,0.6,38
1157.5,51.28,0,-168,9.999747,0,3,0,0,3.8,49
1173,42.6,2632,-140,9.999747,0,3,0,0,4.8,49
1177,61.36,2579.5,-168,9.999747,0,3,0,0,3.4,38
1123,48.62,2632,-112,9.999747,0,3,0,0,5,49
903.5,67.59,1039.5,-168,9.999747,0,3,0,0,-0.2,38
1030.5,53.71,1243.385,-140,9.999747,0,3,0,0,1.7,49
912,67.88,2494.58,-140,9.999747,0,3,0,0,1,38
917.5,69.09,1431.5,-168,9.999747,0,3,0,0,0.8,38
1265,54.66,1174.674,-196,9.999747,0,3,0,0,2.1,38
880.5,65.34,1770.104,-140,9.999747,0,3,0,0,1,38
998.5,61.38,2327.5,-140,9.999747,0,3,0,0,1.7,38
1177,72.72,1683.5,-168,9.999747,0,3,0,0,1,38
932,69.69,1403.5,-168,9.999747,0,3,0,0,0.4,38
1344.5,82.84,0,-224,9.999747,0,3,0,0,-2.7,38
1165,72.24,673.3607,-196,9.999747,0,3,0,0,0.2,38
1180,43.5,1967.528,-149.6944,9.999747,0,3,0,0,4.2,49
1188.5,88.67,0,-168,9.999747,0,3,0,0,-3.4,49
1210.5,62.68,2579.5,-168,9.999747,0,3,0,0,3.4,38
882,66,921.4666,-140,9.999747,0,3,0,0,-0.6,38
1154,58.95,0,-168,9.999747,0,3,0,0,-2.7,49
1496.5,44.15,2327.5,-168,9.999747,0,3,0,0,4.8,49
981,73.89,0,-168,9.999747,0,3,0,0,-0.8,38
1211,74.99,1491.831,-196,9.999747,0,3,0,0,0.4,38
1173.5,41.99,2632,-112,9.999747,0,3,0,0,4.8,49
1156.5,71.66,1739.5,-168,9.999747,0,3,0,0,1.5,38
1158,41.47,2632,-112,9.999747,0,3,0,0,4.8,49
917.5,68.18,1655.5,-140,9.999747,0,3,0,0,0.6,38
1062,80.71,0,-168,9.999747,0,3,0,0,2.7,49
1158.5,71.63,1683.5,-168,9.999747,0,3,0,0,1.5,38
1160.5,45.56,457.5862,-140,9.999747,0,3,0,0,4,49
1053,54.96,953.0748,-140,9.999747,0,3,0,0,0.6,49
1164.5,71.99,2047.5,-168,9.999747,0,3,0,0,1.7,38
853.5,64.21,2204.698,-140,9.999747,0,3,0,0,1.5,38
1152,71.36,1861.99,-168,9.999747,0,3,0,0,1.5,38
1154,71.51,1487.5,-168,9.999747,0,3,0,0,1.3,38
890,66.53,427.6017,-168,9.999747,0,3,0,0,-1.3,38
1263,78.18,0,-196,9.999747,0,3,0,0,-3.1,38
1162.5,72.06,703.5,-196,9.999747,0,3,0,0,0.2,38
819,60.99,0,-112,9.999747,0,3,0,0,-2.7,49
1340.5,68.61,0,-196,9.999747,0,3,0,0,-3.8,49
1294,38.31,2632,-140,9.999747,0,3,0,0,4.8,49
883.5,65.71,2047.5,-140,9.999747,0,3,0,0,1,38
507.5,75.75,366.2387,-112,9.999747,0,3,0,0,-0.2,38
1144,70.53,2383.593,-140,9.999747,0,3,0,0,2.3,38
1228.5,76.4,0,-196,9.999747,0,3,0,0,-3.1,38
1173.5,71.09,2579.5,-168,9.999747,0,3,0,0,-1.7,38
1169.5,72.21,1963.5,-168,9.999747,0,3,0,0,1.5,38
1382,85.08,0,-224,9.999747,0,3,0,0,-2.7,38
918.5,68.61,1515.5,-140,9.999747,0,3,0,0,0.6,38
1159.5,71.72,1739.5,-168,9.999747,0,3,0,0,1.5,38
1404,49.96,2456.64,-140,9.999747,0,3,0,0,3.6,49
1103,57.47,731.5,-140,9.999747,0,3,0,0,0.6,49
1066.5,65.9,1201.5,-168,9.999747,0,3,0,0,0.6,38
1059,54.06,2632,-168,9.999747,0,3,0,0,1.7,38
906,67.67,1963.5,-168,9.999747,0,3,0,0,0.6,38
920.5,68.56,1543.5,-140,9.999747,0,3,0,0,0.6,38
1083,56.43,2335.325,-140,9.999747,0,3,0,0,2.1,49
899.5,67.32,2187.194,-140,9.999747,0,3,0,0,1.3,38
1153,71.2,2243.5,-168,9.999747,0,3,0,0,1.7,38
1093.5,56.44,2271.5,-168,9.999747,0,3,0,0,2.3,38
1175.5,61.22,2579.5,-168,9.999747,0,3,0,0,3.4,38
1191,42.22,2607.5,-112,9.999747,0,3,0,0,4.2,49
1136.5,72.2,0,-168,9.999747,0,3,0,0,3.8,49
1058,54.41,2016.1,-168,9.999747,0,3,0,0,2.1,38
1309.5,80.75,0,-196,9.999747,0,3,0,0,-2.9,38
1310.5,82.58,0,-196,9.999747,0,3,0,0,-3.1,38
914,66.75,0,-140,9.999747,0,3,0,0,-2.7,49
957,71.89,0,-140,9.999747,0,3,0,0,-0.8,49
1112,47.97,2635.5,-112,9.999747,0,3,0,0,4.2,49
931,69.38,1599.5,-168,9.999747,0,3,0,0,0.4,38
1199.5,74.51,761.6285,-196,9.999747,0,3,0,0,0.4,38
1156.5,71.29,2327.847,-140,9.999747,0,3,0,0,2.5,38
1165,72.07,1711.5,-168,9.999747,0,3,0,0,1.5,38
984.5,72.79,0,-140,9.999747,0,3,0,0,-4.6,49
1404,72.59,0,-196,9.999747,0,3,0,0,-3.8,49
938,70.12,56.68442,-168,9.999747,0,3,0,0,-1,38
934,69.65,1431.5,-168,9.999747,0,3,0,0,0.4,38
1195,60.41,2403.775,-112,9.999747,0,3,0,0,-1.7,49
906,67.59,1039.5,-168,9.999747,0,3,0,0,-0.2,38
1002,75.2,0,-168,9.999747,0,3,0,0,-1.9,38
1375,84.82,0,-224,9.999747,0,3,0,0,-2.7,38
1290,65.5,2607.5,-196,9.999747,0,3,0,0,-0.2,38
945.5,75.45,240.299,-140,9.999747,0,3,0,0,3.8,49
1322.5,81.55,0,-196,9.999747,0,3,0,0,-2.7,38
1187.5,72.8,925.5424,-195.6261,9.999747,0,3,0,0,0,38
1151.5,59.61,1684.188,-168,9.999747,0,3,0,0,1.5,38
1208,63.78,0,-196,9.999747,0,3,0,0,1.7,38
932.5,70.4,596.008,-168,9.999747,0,3,0,0,0.4,38
1101.5,47.03,1963.5,-140,9.999747,0,3,0,0,1.7,49
905.5,67.82,1963.5,-168,9.999747,0,3,0,0,0.6,38
1141.5,70.71,2159.5,-168,9.999747,0,3,0,0,2.1,38
1222,62.37,2579.5,-168,9.999747,0,3,0,0,1.3,38
1301.5,66.43,2607.5,-168,9.999747,0,3,0,0,0.4,38
1192,42.2,2607.5,-112,9.999747,0,3,0,0,4.2,49
1069,46.72,1607.572,-112,9.999747,0,3,0,0,4.2,49
1295,45.77,2632,-140,9.999747,0,3,0,0,4.2,49
1154.5,71.5,1739.5,-168,9.999747,0,3,0,0,1.5,38
1188.5,73.1,1485.966,-168,9.999747,0,3,0,0,-0.4,38
906,67.61,1963.5,-168,9.999747,0,3,0,0,0.6,38
1252,44.98,1327.897,-168,9.999747,0,3,0,0,5,49
894,66.85,171.5,-168,9.999747,0,3,0,0,-0.6,38
1319.5,46.26,2635.5,-140,9.999747,0,3,0,0,3.8,49
910.5,67.87,2047.5,-168,9.999747,0,3,0,0,0.6,38
1219,75.18,522.6205,-196,9.999747,0,3,0,0,-1.9,38
1002,52.21,1543.096,-112,9.999747,0,3,0,0,1.7,49
1109.5,47.28,2019.5,-140,9.999747,0,3,0,0,1.7,49
1240.5,77.74,0,-196,9.999747,0,3,0,0,-3.1,38
1155,71.51,2215.8,-140,9.999747,0,3,0,0,2.5,38
935.5,70.11,59.5,-168,9.999747,0,3,0,0,-1,38
1281,54.81,1599.5,-196,9.999747,0,3,0,0,2.1,38
1159.5,71.84,2046.104,-168,9.999747,0,3,0,0,1.7,38
